,os_x,os_y,ts_x,ts_y
0,100.00053199900145,400.00000270415484,200.00028,699.9995150257739
1,100.00210177894563,400.00000865728526,200.0010914652,699.9981095268189
2,100.00516357721166,400.00001879563223,200.0026602339815,699.9953923395841
3,100.01009734734203,400.0000298798581,200.00518912953643,699.991012163996
4,100.0172443083964,400.00004719369537,200.00886030534537,699.9846535009714
5,100.0269389103819,400.0000721433519,200.01383735162761,699.9760330039389
6,100.0394535345784,400.00009882901765,200.02026718712324,699.9648962021762
7,100.05506079266416,400.00012707145436,200.0282817580835,699.9510145580722
8,100.07400551447111,400.0001566482049,200.0379995641172,699.9341828242837
9,100.09622717759677,400.0002973044101,200.04952702853802,699.9142166702244
10,100.12166978294447,400.0006849256121,200.0629597290597,699.890950550438
11,100.15056274303498,400.0013473915513,200.07838350307122,699.8642357902056
12,100.18308436500342,400.00229630534005,200.09587544027323,699.8339388662489
13,100.21942248158597,400.00355605359533,200.11550477415497,699.799939862647
14,100.25947237948816,400.00496140302613,200.13733368262083,699.7621310841104
15,100.30341533528087,400.00652010141755,200.16141800702493,699.7204158105765
16,100.35141414679397,400.0082392423115,200.18780789792902,699.6747071787244
17,100.40358622431368,400.0101469138036,200.21654839505106,699.6249271774742
18,100.45977644115591,400.012481506951,200.2476799481114,699.5710057458551
19,100.52013217005855,400.01525833263946,200.28123888459936,699.51287996281
20,100.58475913961139,400.01846278402513,200.31725782986985,699.4504933195665
21,100.65375285318153,400.02207629635717,200.3557660844278,699.3837950661613
22,100.72719960897051,400.02607658278026,200.39678996276376,699.3127396245599
23,100.80517377868952,400.030502747543,200.44035309765852,699.2372860615852
24,100.88777162952861,400.03536235321394,200.48647671347612,699.1573976155603
25,100.97477767196729,400.04100517757047,200.53517987160578,699.0730412711907
26,101.06604164241564,400.0470441693399,200.58647969089043,698.9841873777706
27,101.16168757087017,400.05348629995893,200.64039154559177,698.8908093062976
28,101.26182685780365,400.0603378034216,200.6969292431805,698.7928831415309
29,101.36655956287481,400.06760420947643,200.75610518400796,698.690387405432
30,101.47595072523256,400.07524408073806,200.8179305047057,698.5833028087893
31,101.59008393477677,400.08326245234036,200.88241520697116,698.4716120281546
32,101.70872008871243,400.0921255801168,200.94956827322872,698.3552995055124
33,101.83171255369534,400.10131095537645,201.01939777050399,698.2343512683647
34,101.959175853176,400.1108270194709,201.09191094371192,698.1087547681504
35,102.09118884938123,400.1206263001793,201.16711429943823,697.9784987351328
36,102.22752580772865,400.1312461976021,201.24501368118248,697.8435730480736
37,102.36797431420874,400.14322116791186,201.32561433693317,697.7039686171901
38,102.51232829405828,400.1570778472211,201.4089209798563,697.5596772790392
39,102.66050739094067,400.17214479303834,201.49493784279915,697.4106917021145
40,102.81232559416968,400.18898051488014,201.58366872723948,697.2570053020634
41,102.96791444741385,400.2075977885049,201.67511704724652,697.0986121655444
42,103.12739118681195,400.2280128787466,201.76928586896162,696.9355069818449
43,103.29087778200562,400.25011452196867,201.86617794605573,696.767684981467
44,103.45850512146981,400.27386737096595,201.96579575157318,696.5951418809723
45,103.63039154807757,400.29923922625085,202.06814150653037,696.4178738334475
46,103.80647253640689,400.32545972664906,202.17321720559985,696.2358773840183
47,103.9864865827857,400.3532128281044,202.28102464017718,696.0491494298967
48,104.17041277977125,400.3817005739817,202.3915654190967,695.8576871844998
49,104.35801059797171,400.4116439238497,202.50484098723655,695.6614881452253
50,104.54944910437993,400.44302190696254,202.62085264222728,695.4605500645113
